,island,sent_number,token,critical,surprisal
0,0,1,書いた,0,0.0
1,0,1,エッ,0,15.536589622497600
2,0,1,セー,0,1.3892496824264500
3,0,1,が,0,4.5382080078125
4,0,1,権威,0,16.90656280517580
5,0,1,ある,0,1.7436481714248700
6,0,1,文学,0,5.915456295013430
7,0,1,賞を受賞した,0,6.678269386291500
8,0,1,の,0,5.258145332336430
9,0,1,で,0,3.3000071048736600
10,0,1,女性,1,15.669041633606000
11,0,1,議員,1,13.26730728149410
12,0,1,は,1,3.7020461559295700
13,0,1,感謝,1,15.024360656738300
14,0,1,を述べた,1,6.942720890045170
15,0,1,。,1,0.22293078899383500
0,0,2,発表した,0,0.0
1,0,2,論文,0,12.438281059265100
2,0,2,が,0,4.476464748382570
3,0,2,世界中の,0,13.756414413452100
4,0,2,学者,0,7.352660179138180
5,0,2,から,0,2.393984794616700
6,0,2,注目された,0,4.860602378845220
7,0,2,の,0,5.513583660125730
8,0,2,で,0,3.580761432647710
9,0,2,教授,1,13.70771312713620
10,0,2,は,1,6.662727355957030
11,0,2,多忙,1,10.842636108398400
12,0,2,を極め,1,2.66276478767395
13,0,2,た,1,1.7696533203125
14,0,2,。,1,0.09478170424699780
0,0,3,購入した,0,0.0
1,0,3,絵画,0,12.651392936706500
2,0,3,が,0,3.4724810123443600
3,0,3,ピカ,0,10.918363571167000
4,0,3,ソ,0,0.04810561239719390
5,0,3,の作品,0,4.931668758392330
6,0,3,だったので,0,11.847177505493200
7,0,3,美術館,1,11.296429634094200
8,0,3,長は,1,10.500761032104500
9,0,3,展示,1,9.96788501739502
10,0,3,会,1,3.189049482345580
11,0,3,を計画した,1,10.744623184204100
12,0,3,。,1,0.4666081964969640
0,0,4,演じた,0,0.0
1,0,4,芝居,0,14.536982536315900
2,0,4,が,0,4.186685085296630
3,0,4,連,0,12.162758827209500
4,0,4,日,0,1.1093844175338700
5,0,4,チケット,0,13.59707260131840
6,0,4,が,0,2.5811679363250700
7,0,4,完売,0,1.7669001817703200
8,0,4,した,0,3.79118013381958
9,0,4,の,0,5.118441581726070
10,0,4,で,0,1.4699440002441400
11,0,4,役者,1,12.427602767944300
12,0,4,は,1,4.619172096252440
13,0,4,海外,1,10.73760986328130
14,0,4,に招待され,1,11.253799438476600
15,0,4,た,1,1.6884348392486600
16,0,4,。,1,0.17567959427833600
0,0,5,開発した,0,0.0
1,0,5,新,0,10.029352188110400
2,0,5,製品,0,4.735213279724120
3,0,5,が,0,4.566059589385990
4,0,5,今,0,12.471389770507800
5,0,5,朝,0,11.119488716125500
6,0,5,社,0,7.403459072113040
7,0,5,外に,0,13.849076271057100
8,0,5,発表された,0,5.458856105804440
9,0,5,の,0,6.166136741638180
10,0,5,で,0,3.630363941192630
11,0,5,若手,1,17.436019897460900
12,0,5,社員,1,3.2259652614593500
13,0,5,は,1,3.5227468013763400
14,0,5,誇り,1,13.899468421936000
15,0,5,に,1,1.6785080432891800
16,0,5,思った,1,6.471456527709960
17,0,5,。,1,2.2527167797088600
0,0,6,デザイン,0,0.0
1,0,6,した,0,7.959828853607180
2,0,6,ドレス,0,11.25715446472170
3,0,6,が,0,4.308121204376220
4,0,6,大,0,10.015022277832000
5,0,6,勢,0,5.136940002441410
6,0,6,の,0,0.968498945236206
7,0,6,記者,0,11.989814758300800
8,0,6,に,0,2.706085205078130
9,0,6,取材,0,6.390451431274410
10,0,6,された,0,3.4127769470214800
11,0,6,の,0,7.264428615570070
12,0,6,で,0,3.4806013107299800
13,0,6,女優,1,14.162264823913600
14,0,6,は,1,5.433194637298580
15,0,6,自信,1,10.001609802246100
16,0,6,を付けた,1,7.380314826965330
17,0,6,。,1,1.4827297925949100
0,0,7,作った,0,0.0
1,0,7,日本,0,10.053601264953600
2,0,7,酒,0,7.072289943695070
3,0,7,が,0,5.37797737121582
4,0,7,先,0,11.009126663208000
5,0,7,月,0,11.661149024963400
6,0,7,ガイド,0,19.829761505127000
7,0,7,ブック,0,3.781430721282960
8,0,7,で,0,2.655681848526000
9,0,7,特集,0,9.552085876464840
10,0,7,された,0,2.2151901721954300
11,0,7,の,0,4.703453063964840
12,0,7,で,0,3.8051161766052200
13,0,7,外国人,1,12.855215072631800
14,0,7,は,1,6.727046489715580
15,0,7,周り,1,14.939560890197800
16,0,7,に,1,2.1437416076660200
17,0,7,認められた,1,15.400935173034700
18,0,7,。,1,2.153071403503420
0,0,8,受けた,0,0.0
1,0,8,難,0,13.026371955871600
2,0,8,病,0,4.0829548835754400
3,0,8,の,0,2.990377902984620
4,0,8,診断,0,6.97023868560791
5,0,8,が,0,4.608156681060790
6,0,8,今,0,11.208565711975100
7,0,8,朝,0,9.568069458007810
8,0,8,社内,0,12.705775260925300
9,0,8,で,0,1.6514338254928600
10,0,8,公表された,0,7.983877658843990
11,0,8,の,0,2.8256750106811500
12,0,8,で,0,4.778382301330570
13,0,8,重,1,11.567550659179700
14,0,8,役,1,7.659867763519290
15,0,8,は,1,2.862790107727050
16,0,8,引き,1,11.668692588806200
17,0,8,継ぎ,1,4.623498916625980
18,0,8,を始めた,1,11.176000595092800
19,0,8,。,1,0.4086720645427700
0,1,9,書いた,0,0.0
1,1,9,エッ,0,15.536590576171900
2,1,9,セー,0,1.389255166053770
3,1,9,が,0,4.538206577301030
4,1,9,権威,0,16.906564712524400
5,1,9,ある,0,1.743645429611210
6,1,9,文学,0,5.915456295013430
7,1,9,賞を受賞した,0,6.678272247314450
8,1,9,女性,1,13.311779022216800
9,1,9,議員,1,11.979108810424800
10,1,9,は,1,5.226256847381590
11,1,9,感謝,1,15.95963191986080
12,1,9,を述べた,1,6.540767192840580
13,1,9,。,1,0.2558702826499940
0,1,10,発表した,0,0.0
1,1,10,論文,0,12.438281059265100
2,1,10,が,0,4.476464748382570
3,1,10,世界中の,0,13.756414413452100
4,1,10,学者,0,7.352660179138180
5,1,10,から,0,2.393984794616700
6,1,10,注目された,0,4.860602378845220
7,1,10,教授,1,20.322290420532200
8,1,10,は,1,4.5833845138549800
9,1,10,多忙,1,15.028190612793000
10,1,10,を極め,1,1.399257779121400
11,1,10,た,1,2.9917564392089800
12,1,10,。,1,0.33922407031059300
0,1,11,購入した,0,0.0
1,1,11,絵画,0,12.651392936706500
2,1,11,が,0,3.4724810123443600
3,1,11,ピカ,0,10.918363571167000
4,1,11,ソ,0,0.04810561239719390
5,1,11,の作品,0,4.931668758392330
6,1,11,だった,0,6.559308052062990
7,1,11,美術館,1,18.138113021850600
8,1,11,長は,1,7.789270877838140
9,1,11,展示,1,11.354074478149400
10,1,11,会,1,2.957761764526370
11,1,11,を計画した,1,12.06903076171880
12,1,11,。,1,0.868486225605011
0,1,12,演じた,0,0.0
1,1,12,芝居,0,14.536980628967300
2,1,12,が,0,4.186685085296630
3,1,12,連,0,12.162758827209500
4,1,12,日,0,1.1093829870224
5,1,12,チケット,0,13.59707260131840
6,1,12,が,0,2.581165075302120
