,island,sent_number,token,critical,surprisal
0,0,1,書い,0,10.17686653137210
1,0,1,た,0,3.6973538398742700
2,0,1,エッセー,0,14.274271965026900
3,0,1,が,0,2.381721019744870
4,0,1,権威,0,11.028541564941400
5,0,1,ある,0,7.688709259033200
6,0,1,文学,0,10.951109886169400
7,0,1,賞,0,8.79857063293457
8,0,1,を,0,2.6532201766967800
9,0,1,受賞,0,7.7748918533325200
10,0,1,し,0,1.5278756618499800
11,0,1,た,0,0.9681429862976070
12,0,1,の,0,3.914642810821530
13,0,1,で,0,12.401206970214800
14,0,1,女性,1,8.872875213623050
15,0,1,議員,1,8.500051498413090
16,0,1,は,1,2.4407429695129400
17,0,1,感謝,1,10.429370880127000
18,0,1,を,1,3.3500142097473100
19,0,1,述べ,1,5.2507710456848100
20,0,1,た,1,0.6014891862869260
21,0,1,。,1,0.20736971497535700
22,0,1,</s>,1,3.180725574493410
0,0,2,発表,0,8.664493560791020
1,0,2,し,0,3.575399160385130
2,0,2,た,0,1.087066411972050
3,0,2,論文,0,10.608936309814500
4,0,2,が,0,2.5524187088012700
5,0,2,世界,0,7.22337532043457
6,0,2,中,0,10.859865188598600
7,0,2,の,0,1.8308465480804400
8,0,2,学者,0,9.970359802246090
9,0,2,から,0,4.436634063720700
10,0,2,注目,0,8.791412353515630
11,0,2,さ,0,2.8236160278320300
12,0,2,れ,0,0.25432443618774400
13,0,2,た,0,0.811174750328064
14,0,2,の,0,3.8900492191314700
15,0,2,で,0,12.644035339355500
16,0,2,教授,1,9.225597381591800
17,0,2,は,1,2.2047314643859900
18,0,2,多忙,1,13.03256607055660
19,0,2,を,1,2.7961349487304700
20,0,2,極め,1,10.420594215393100
21,0,2,た,1,1.7993379831314100
22,0,2,。,1,0.36219653487205500
23,0,2,</s>,0,3.3072714805603000
0,0,3,購入,0,9.144979476928710
1,0,3,し,0,5.111430644989010
2,0,3,た,0,1.5079503059387200
3,0,3,絵画,0,11.133700370788600
4,0,3,が,0,2.791693925857540
5,0,3,ピカソ,0,14.673184394836400
6,0,3,の,0,2.600393056869510
7,0,3,作品,0,7.133276462554930
8,0,3,だっ,0,6.314957618713380
9,0,3,た,0,0.11740117520093900
10,0,3,の,0,4.616687774658200
11,0,3,で,0,12.77295970916750
12,0,3,美術,1,9.871045112609860
13,0,3,館,1,14.879002571106000
14,0,3,長,1,6.2509050369262700
15,0,3,は,1,1.8657304048538200
16,0,3,展示,1,9.315877914428710
17,0,3,会,1,6.9122514724731400
18,0,3,を,1,2.794487953186040
19,0,3,計画,1,8.527322769165040
20,0,3,し,1,1.1987051963806200
21,0,3,た,1,0.8464632034301760
22,0,3,。,1,0.4251369535923000
23,0,3,</s>,1,3.3131914138793900
0,0,4,演じ,0,10.237443923950200
1,0,4,た,0,4.652101516723630
2,0,4,芝居,0,11.311515808105500
3,0,4,が,0,2.40502667427063
4,0,4,連日,0,10.484573364257800
5,0,4,チケット,0,11.363754272460900
6,0,4,が,0,2.854592800140380
7,0,4,完売,0,11.668351173400900
8,0,4,し,0,2.3620941638946500
9,0,4,た,0,0.8569045066833500
10,0,4,の,0,4.0538740158081100
11,0,4,で,0,12.323680877685500
12,0,4,役者,1,11.58121109008790
13,0,4,は,1,2.710428237915040
14,0,4,海外,1,8.243947982788090
15,0,4,に,1,2.3806324005127000
16,0,4,招待,1,9.996931076049810
17,0,4,さ,1,2.9653003215789800
18,0,4,れ,1,0.25327256321907000
19,0,4,た,1,0.9324357509613040
20,0,4,。,1,0.6850683689117430
21,0,4,</s>,1,3.5080811977386500
0,0,5,開発,0,8.065855026245120
1,0,5,し,0,4.5667643547058100
2,0,5,た,0,1.3722665309906000
3,0,5,新,0,7.232464790344240
4,0,5,製品,0,8.513222694396970
5,0,5,が,0,2.676762104034420
6,0,5,今朝,0,13.56849193573000
7,0,5,社外,0,12.90394115448000
8,0,5,に,0,2.960329294204710
9,0,5,発表,0,5.490106105804440
10,0,5,さ,0,1.7319142818450900
11,0,5,れ,0,0.22872325778007500
12,0,5,た,0,0.7612211108207700
13,0,5,の,0,4.122035503387450
14,0,5,で,0,12.617025375366200
15,0,5,若手,1,10.342658042907700
16,0,5,社員,1,10.124914169311500
17,0,5,は,1,2.3455047607421900
18,0,5,誇り,1,10.75693416595460
19,0,5,に,1,3.122223377227780
20,0,5,思っ,1,7.129355430603030
21,0,5,た,1,0.6900261044502260
22,0,5,。,1,0.7505274415016170
23,0,5,</s>,1,3.6332712173461900
0,0,6,デザイン,0,9.0689697265625
1,0,6,し,0,5.128425598144530
2,0,6,た,0,1.6599464416503900
3,0,6,ドレス,0,11.383960723877000
4,0,6,が,0,2.263237714767460
5,0,6,大勢,0,9.329373359680180
6,0,6,の,0,2.6749234199523900
7,0,6,記者,0,7.514527797698980
8,0,6,に,0,2.8626673221588100
9,0,6,取材,0,8.740060806274410
10,0,6,さ,0,2.619515895843510
11,0,6,れ,0,0.2198188602924350
12,0,6,た,0,0.7787138819694520
13,0,6,の,0,4.013004779815670
14,0,6,で,0,12.694099426269500
15,0,6,女優,1,10.221757888793900
16,0,6,は,1,2.6816842555999800
17,0,6,自信,1,10.37808609008790
18,0,6,を,1,2.5749781131744400
19,0,6,付け,1,7.11332893371582
20,0,6,た,1,0.9080806970596310
21,0,6,。,1,0.3817816376686100
22,0,6,</s>,1,3.223069429397580
0,0,7,作っ,0,10.068347930908200
1,0,7,た,0,3.958317279815670
2,0,7,日本,0,6.515133857727050
3,0,7,酒,0,10.501670837402300
4,0,7,が,0,2.665276527404790
5,0,7,先月,0,9.165759086608890
6,0,7,ガイドブック,0,12.51449203491210
7,0,7,で,0,3.1274280548095700
8,0,7,特集,0,10.239266395568800
9,0,7,さ,0,2.31266450881958
10,0,7,れ,0,0.19536222517490400
11,0,7,た,0,0.6488022804260250
12,0,7,の,0,3.8967108726501500
13,0,7,で,0,12.616037368774400
14,0,7,外国,1,9.592121124267580
15,0,7,人,1,5.366935729980470
16,0,7,は,1,2.0431809425354000
17,0,7,周り,1,10.851411819458000
18,0,7,に,1,2.1901748180389400
19,0,7,認め,1,6.269309997558590
20,0,7,られ,1,3.898871421813970
21,0,7,た,1,0.9103705883026120
22,0,7,。,1,0.4581272006034850
23,0,7,</s>,1,3.461517810821530
0,0,8,受け,0,9.48213005065918
1,0,8,た,0,4.993696212768560
2,0,8,難病,0,13.863468170166000
3,0,8,の,0,2.3961002826690700
4,0,8,診断,0,9.519864082336430
5,0,8,が,0,2.5223166942596400
6,0,8,今朝,0,13.572227478027300
7,0,8,社内,0,12.258123397827100
8,0,8,で,0,3.002891778945920
9,0,8,公表,0,9.31624698638916
10,0,8,さ,0,1.684765338897710
11,0,8,れ,0,0.34089353680610700
12,0,8,た,0,0.6969586610794070
13,0,8,の,0,4.01368522644043
14,0,8,で,0,12.490900039672900
15,0,8,重役,1,13.318416595459000
16,0,8,は,1,2.9349966049194300
17,0,8,引き継ぎ,1,12.713235855102500
18,0,8,を,1,3.043802261352540
19,0,8,始め,1,5.93037223815918
20,0,8,た,1,0.7522753477096560
21,0,8,。,1,0.33114174008369400
22,0,8,</s>,1,3.3985769748687700
0,1,9,書い,0,10.17686653137210
1,1,9,た,0,3.6973538398742700
2,1,9,エッセー,0,14.274271965026900
3,1,9,が,0,2.381721019744870
4,1,9,権威,0,11.028541564941400
5,1,9,ある,0,7.688709259033200
6,1,9,文学,0,10.951109886169400
7,1,9,賞,0,8.79857063293457
8,1,9,を,0,2.6532201766967800
9,1,9,受賞,0,7.7748918533325200
10,1,9,し,0,1.5278756618499800
11,1,9,た,0,0.9681429862976070
12,1,9,女性,1,7.433447360992430
13,1,9,議員,1,8.24964714050293
14,1,9,は,1,2.812012195587160
15,1,9,感謝,1,10.793245315551800
16,1,9,を,1,3.3819780349731400
17,1,9,述べ,1,5.282036781311040
18,1,9,た,1,0.5554311871528630
19,1,9,。,1,0.20811466872692100
20,1,9,</s>,1,3.1662683486938500
0,1,10,発表,0,8.664493560791020
1,1,10,し,0,3.575399160385130
2,1,10,た,0,1.087066411972050
3,1,10,論文,0,10.608936309814500
4,1,10,が,0,2.5524187088012700
5,1,10,世界,0,7.22337532043457
6,1,10,中,0,10.859865188598600
7,1,10,の,0,1.8308465480804400
8,1,10,学者,0,9.970359802246090
9,1,10,から,0,4.436634063720700
10,1,10,注目,0,8.791412353515630
11,1,10,さ,0,2.8236160278320300
12,1,10,れ,0,0.25432443618774400
13,1,10,た,0,0.811174750328064
14,1,10,教授,1,9.825342178344730
15,1,10,は,1,2.459592342376710
16,1,10,多忙,1,13.750514030456500
17,1,10,を,1,2.973439931869510
18,1,10,極め,1,10.438178062439000
19,1,10,た,1,1.7996091842651400
20,1,10,。,1,0.3361257016658780
21,1,10,</s>,1,3.3336596488952600
0,1,11,購入,0,9.144979476928710
1,1,11,し,0,5.111430644989010
2,1,11,た,0,1.5079503059387200
3,1,11,絵画,0,11.133700370788600
4,1,11,が,0,2.791693925857540
5,1,11,ピカソ,0,14.673184394836400
6,1,11,の,0,2.600393056869510
7,1,11,作品,0,7.133276462554930
8,1,11,だっ,0,6.314957618713380
9,1,11,た,0,0.11740117520093900
10,1,11,美術,1,11.374627113342300
11,1,11,館,1,14.430292129516600
12,1,11,長,1,6.35855770111084
13,1,11,は,1,1.753847599029540
14,1,11,展示,1,9.440376281738280
15,1,11,会,1,6.948581695556640
16,1,11,を,1,2.7949819564819300
17,1,11,計画,1,8.541760444641110
18,1,11,し,1,1.217446208000180
19,1,11,た,1,0.8550872206687930
20,1,11,。,1,0.4239521920681
21,1,11,</s>,1,3.2952613830566400
0,1,12,演じ,0,10.237443923950200
1,1,12,た,0,4.652101516723630
2,1,12,芝居,0,11.311515808105500
3,1,12,が,0,2.40502667427063
4,1,12,連日,0,10.484573364257800
5,1,12,チケット,0,11.363754272460900
6,1,12,が,0,2.854592800140380
7,1,12,完売,0,11.668351173400900
8,1,12,し,0,2.3620941638946500
9,1,12,た,0,0.8569045066833500
10,1,12,役者,1,11.507165908813500
11,1,12,は,1,3.0929462909698500
12,1,12,海外,1,8.428869247436520
13,1,12,に,1,2.4933505058288600
14,1,12,招待,1,9.912200927734380
15,1,12,さ,1,2.991694450378420
16,1,12,れ,1,0.22004006803035700
17,1,12,た,1,0.9097400903701780
18,1,12,。,1,0.724848747253418
19,1,12,</s>,1,3.525339365005490
0,1,13,開発,0,8.065855026245120
1,1,13,し,0,4.5667643547058100
2,1,13,た,0,1.3722665309906000
3,1,13,新,0,7.232464790344240
4,1,13,製品,0,8.513222694396970
5,1,13,が,0,2.676762104034420
6,1,13,今朝,0,13.56849193573000
7,1,13,社外,0,12.90394115448000
8,1,13,に,0,2.960329294204710
9,1,13,発表,0,5.490106105804440
10,1,13,さ,0,1.7319142818450900
11,1,13,れ,0,0.22872325778007500
12,1,13,た,0,0.7612211108207700
13,1,13,若手,1,10.399757385253900
14,1,13,社員,1,9.25649356842041
15,1,13,は,1,2.4414258003234900
16,1,13,誇り,1,11.04455280303960
17,1,13,に,1,3.266659736633300
18,1,13,思っ,1,7.22206449508667
19,1,13,た,1,0.6357139945030210
20,1,13,。,1,0.730737030506134
21,1,13,</s>,1,3.6281864643096900
0,1,14,デザイン,0,9.0689697265625
1,1,14,し,0,5.128425598144530
2,1,14,た,0,1.6599464416503900
3,1,14,ドレス,0,11.383960723877000
4,1,14,が,0,2.263237714767460
5,1,14,大勢,0,9.329373359680180
6,1,14,の,0,2.6749234199523900
7,1,14,記者,0,7.514527797698980
8,1,14,に,0,2.8626673221588100
9,1,14,取材,0,8.740060806274410
10,1,14,さ,0,2.619515895843510
11,1,14,れ,0,0.2198188602924350
12,1,14,た,0,0.7787138819694520
13,1,14,女優,1,10.358915328979500
