,island,sent_number,token,critical,surprisal
0,0,1,書い,0,10.493671417236300
1,0,1,た,0,2.1517794132232700
2,0,1,エッセー,0,12.994946479797400
3,0,1,が,0,2.4541451930999800
4,0,1,権威,0,11.535649299621600
5,0,1,ある,0,8.544492721557620
6,0,1,文学,0,10.668535232543900
7,0,1,賞,0,8.157864570617680
8,0,1,を,0,2.229055881500240
9,0,1,受賞,0,6.385417938232420
10,0,1,し,0,0.8300426006317140
11,0,1,た,0,0.97278892993927
12,0,1,の,0,4.709362983703610
13,0,1,で,0,12.776124954223600
14,0,1,女性,1,8.817087173461910
15,0,1,議員,1,9.137412071228030
16,0,1,は,1,2.1502323150634800
17,0,1,感謝,1,9.845465660095220
18,0,1,を,1,3.074678421020510
19,0,1,述べ,1,7.318448066711430
20,0,1,た,1,0.910969614982605
21,0,1,。,1,0.2465129792690280
22,0,1,</s>,1,2.3999433517456100
0,0,2,発表,0,8.19371223449707
1,0,2,し,0,2.944441795349120
2,0,2,た,0,1.0077767372131300
3,0,2,論文,0,9.296282768249510
4,0,2,が,0,2.6355321407318100
5,0,2,世界,0,6.272614002227780
6,0,2,中,0,11.239959716796900
7,0,2,の,0,2.0513784885406500
8,0,2,学者,0,10.280234336853000
9,0,2,から,0,4.821376323699950
10,0,2,注目,0,7.638064384460450
11,0,2,さ,0,1.6375586986541700
12,0,2,れ,0,0.27552080154418900
13,0,2,た,0,0.9335777163505550
14,0,2,の,0,3.8851611614227300
15,0,2,で,0,12.79269790649410
16,0,2,教授,1,7.993805885314940
17,0,2,は,1,2.1615729331970200
18,0,2,多忙,1,11.640185356140100
19,0,2,を,1,2.903848886489870
20,0,2,極め,1,9.5518217086792
21,0,2,た,1,0.9658508896827700
22,0,2,。,1,0.39711302518844600
23,0,2,</s>,0,2.702456474304200
0,0,3,購入,0,9.073211669921880
1,0,3,し,0,3.928090810775760
2,0,3,た,0,1.2657066583633400
3,0,3,絵画,0,9.546480178833010
4,0,3,が,0,2.374652862548830
5,0,3,ピカソ,0,12.603195190429700
6,0,3,の,0,2.5256130695343000
7,0,3,作品,0,6.5909929275512700
8,0,3,だっ,0,5.649784564971920
9,0,3,た,0,0.10824834555387500
10,0,3,の,0,4.309463977813720
11,0,3,で,0,13.047160148620600
12,0,3,美術,1,9.735452651977540
13,0,3,館,1,12.655569076538100
14,0,3,長,1,5.964863300323490
15,0,3,は,1,1.9256848096847500
16,0,3,展示,1,9.000710487365720
17,0,3,会,1,7.005248069763180
18,0,3,を,1,2.4967923164367700
19,0,3,計画,1,8.422229766845700
20,0,3,し,1,1.033631682395940
21,0,3,た,1,1.0861420631408700
22,0,3,。,1,0.3201320171356200
23,0,3,</s>,1,2.7446532249450700
